nDimensions,nThreads,nPaths,result,relErrror,exacltSolution,eps,avgPath,avgNumSteps,compTime,initTime,finishTime,totalTime
2,2,10,0.307373,0.0430537,0.294685,0.316228,1.13106,2,0.000362,0.00059,5.5e-05,0.154749
4,4,10,0.175446,inf,0,0.316228,1.29328,2.2,0.000369,0.000545,5.2e-05,0.143763
8,8,10,0.108279,inf,0,0.316228,1.73725,3.2,0.000356,0.000563,5.4e-05,0.13793
16,16,10,0.0767199,inf,0,0.316228,2.99928,6,0.000366,0.000561,5.4e-05,0.144496
32,32,10,0.0505143,inf,0,0.316228,4.48307,9,0.000371,0.000549,5.3e-05,0.149104
64,64,10,0.038306,inf,0,0.316228,7.65852,15.6,0.000383,0.000534,5.2e-05,0.139769
128,128,10,0.0303748,inf,0,0.316228,13.3584,26.9,0.000417,0.000575,5.6e-05,0.139906
256,256,10,0.0225569,inf,0,0.316228,19.6198,38.6,0.000427,0.000572,5.2e-05,0.138644
528,1024,10,0.0193418,inf,0,0.316228,39.4992,80.7,0.000622,0.000998,0.000144,0.13793
1024,1024,10,0.0866331,inf,0,0.316228,78.4908,166.9,0.001074,0.001001,0.000117,0.144691
2,2,100,0.299308,0.0156858,0.294685,0.1,1.30153,3.25,0.000349,0.000541,5.3e-05,0.145394
4,4,100,0.18172,inf,0,0.1,2.07671,6.05,0.000377,0.000559,5.5e-05,0.152454
8,8,100,0.121225,inf,0,0.1,3.31914,10.98,0.00038,0.000532,5.4e-05,0.149704
16,16,100,0.0878418,inf,0,0.1,6.27224,21.76,0.000424,0.000558,5.4e-05,0.142249
32,32,100,0.0697873,inf,0,0.1,11.1479,40.42,0.000533,0.000533,5.4e-05,0.143476
64,64,100,0.0562809,inf,0,0.1,19.2394,70.27,0.000617,0.000532,5.2e-05,0.143066
128,128,100,0.0471586,inf,0,0.1,34.0367,127.01,0.00084,0.000549,5.3e-05,0.149474
256,256,100,0.0403605,inf,0,0.1,60.3667,231.28,0.001258,0.000546,5.3e-05,0.143487
528,1024,100,0.0337939,inf,0,0.1,109.366,424.93,0.003034,0.001052,0.000122,0.162852
1024,1024,100,0.0404126,inf,0,0.1,190.807,747.74,0.008338,0.001056,0.000121,0.148003
2,2,1000,0.293895,0.00268265,0.294685,0.0316228,1.53582,4.905,0.000394,0.000999,0.000123,0.159903
4,4,1000,0.18608,inf,0,0.0316228,2.69203,11.216,0.000421,0.001027,0.000124,0.146142
8,8,1000,0.128941,inf,0,0.0316228,4.87279,23.77,0.0005,0.001055,0.000127,0.140691
16,16,1000,0.0965526,inf,0,0.0316228,8.91891,47.275,0.000615,0.001029,0.000122,0.150746
32,32,1000,0.0768027,inf,0,0.0316228,15.8619,90.348,0.000874,0.001028,0.000125,0.146922
64,64,1000,0.063487,inf,0,0.0316228,28.5079,169.512,0.001912,0.000987,0.000128,0.145244
128,128,1000,0.0529712,inf,0,0.0316228,49.2049,297.645,0.003876,0.001003,0.000123,0.152922
256,256,1000,0.0456606,inf,0,0.0316228,87.4932,554.015,0.011194,0.001057,0.000124,0.172687
528,1024,1000,0.0394579,inf,0,0.0316228,168.025,1102.72,0.063423,0.000546,7e-05,0.218777
1024,1024,1000,0.0260559,inf,0,0.0316228,298.793,2026.5,0.243289,0.000545,5.9e-05,0.386873
2,2,10000,0.294524,0.00054642,0.294685,0.01,1.61805,6.5558,0.000568,0.001001,0.000174,0.148059
4,4,10000,0.18721,inf,0,0.01,3.01693,17.1563,0.000878,0.001001,0.00018,0.153719
8,8,10000,0.13086,inf,0,0.01,5.60295,38.1144,0.001438,0.001035,0.000176,0.157191
16,16,10000,0.0983194,inf,0,0.01,10.2166,77.4695,0.002451,0.001026,0.000178,0.151953
32,32,10000,0.0784754,inf,0,0.01,18.255,149.44,0.004236,0.001,0.000175,0.14743
64,64,10000,0.0648816,inf,0,0.01,32.78,286.156,0.013169,0.001006,0.000173,0.160381
128,128,10000,0.0552932,inf,0,0.01,59.0046,544.351,0.057115,0.000997,0.000184,0.198583
256,256,10000,0.0480538,inf,0,0.01,107.122,1034.84,0.289169,0.001028,0.000175,0.454465
528,1024,10000,0.0411295,inf,0,0.01,202.293,2043.75,0.968876,0.001056,0.000175,1.1066
1024,1024,10000,0.0215042,inf,0,0.01,361.111,3800.67,2.60841,0.001017,0.000174,2.75247
2,2,100000,0.295225,0.0018306,0.294685,0.00316228,1.65183,8.17078,0.002615,0.001027,0.000549,0.151485
4,4,100000,0.188795,inf,0,0.00316228,3.13656,23.1285,0.005973,0.001051,0.000493,0.147798
8,8,100000,0.1318,inf,0,0.00316228,5.91211,52.9363,0.012856,0.001002,0.000485,0.160743
16,16,100000,0.0994749,inf,0,0.00316228,10.8266,109.55,0.025848,0.001028,0.000486,0.175771
32,32,100000,0.0791462,inf,0,0.00316228,19.4691,216.473,0.075342,0.001002,0.000493,0.222128
64,64,100000,0.0655669,inf,0,0.00316228,35.0792,420.612,0.322457,0.001002,0.000489,0.474392
128,128,100000,0.0558976,inf,0,0.00316228,63.6652,816.067,0.802684,0.001028,0.00049,0.945886
256,256,100000,0.0486696,inf,0,0.00316228,116.247,1575.56,2.36671,0.001021,0.000491,2.51137
528,1024,100000,0.0415892,inf,0,0.00316228,219.945,3146.82,11.9079,0.001147,0.000506,12.0603
1024,1024,100000,0.0200776,inf,0,0.00316228,395.163,5925.23,37.7188,0.001011,0.000496,37.8611
2,2,1000000,0.294729,0.000147755,0.294685,0.001,1.66056,9.76541,0.031274,0.001039,0.000487,0.185329
4,4,1000000,0.188991,inf,0,0.001,3.17562,29.0109,0.116235,0.001027,0.000492,0.261853
8,8,1000000,0.132329,inf,0,0.001,6.02461,67.795,0.260221,0.001149,0.000492,0.41215
16,16,1000000,0.0997795,inf,0,0.001,11.0558,142.362,0.500714,0.001004,0.000493,0.656356
32,32,1000000,0.0794288,inf,0,0.001,19.9938,285.322,0.83099,0.001045,0.000494,0.982108
64,64,1000000,0.0658188,inf,0,0.001,36.1692,562.429,2.19735,0.001031,0.000486,2.33875
128,128,1000000,0.0560894,inf,0,0.001,65.6958,1100.18,7.51603,0.001036,0.00049,7.67728
256,256,1000000,0.0488492,inf,0,0.001,120.253,2146.07,29.5082,0.001004,0.000506,29.6502
528,1024,1000000,0.041723,inf,0,0.001,227.797,21.7992,166.538,0.001008,0.000538,166.689
1024,1024,1000000,0.019627,inf,0,0.001,410.416,-400.721,531.297,0.001006,0.000512,531.449
2,2,10000000,0.294698,4.2678e-05,0.294685,0.000316228,1.664,11.4127,0.46827,0.001003,0.000509,0.610146
4,4,10000000,0.189047,inf,0,0.000316228,3.19463,34.9389,0.944512,0.001008,0.000509,1.09634
8,8,10000000,0.132389,inf,0,0.000316228,6.06475,82.7296,1.81242,0.001019,0.000511,1.96304
16,16,10000000,0.0998351,inf,0,0.000316228,11.1556,175.518,3.48307,0.001058,0.000492,3.637
32,32,10000000,0.0795148,inf,0,0.000316228,20.205,-74.2372,6.76886,0.001006,0.00049,6.91882
64,64,10000000,0.0658788,inf,0,0.000316228,36.5764,-153.758,24.0168,0.001003,0.000495,24.1658
128,128,10000000,0.0561629,inf,0,0.000316228,66.5477,100.603,95.7185,0.001034,0.0005,95.8688
256,256,10000000,0.0489208,inf,0,0.000316228,121.942,150.425,384.646,0.001061,0.000521,384.789
528,1024,10000000,0.0417757,inf,0,0.000316228,231.107,-66.5681,2140.67,0.001089,0.0005,2140.82
1024,1024,10000000,0.0194818,inf,0,0.000316228,416.122,198.482,6834.37,0.001033,0.000494,6834.52
